Vocabulary,Part of Speech,Definition,Suggested Reading,Base Word
"pono, -ere, posui, positum",verb,"to put down, set down, put, place, set, fix, lay, 
deposit",3.1,pono
"pons, pontis (m.)",noun,a bridge,5.3,pons
"populus, -i (m.)",noun,"a people, nation",1.3,populus
"Porcius, -i (m.)",noun (proper),"a Roman male name (nomen - name of a 
Roman gens)",1.1,Porcius
"porta, -ae (f.)",noun,"a gate, entrance; city gates; door; avenue",4.6,porta
"porto, -are, -avi, -atum",verb,"to carry, bring",5.4,porto
"portus, -us (m.)",noun,"a port, harbor; refuge, haven",5.3,portus
"posco, -ere, poposci",verb,"to ask urgently, beg, demand, request, desire",1.4,posco
"possum, posse, potui",verb,"to be able, have power, can",1.1,possum
post,preposition,"(with acc.) (of space) behind, after; (of time) 
behind, afterwards, after, later",2.4,post
postea,adverb,afterwards,1.3,postea
postquam or post quam,adverb,"after that, after, as soon as, when",3.1,postquam
"potens, -entis",adjective,"powerful, strong; capable; mighty",5.4,potens
"potestas, -atis (f.)",noun,"power, rule, force; strength, ability",3.4,potestas
"praemium, -i (n.)",noun,"a prize, reward; gift; repayment",5.4,praemium
"praesidium, -i (n.)",noun,protection; help; guard; garrison,5.3,praesidium
"praesto, -are, -iti, -atum 
(or -itum)",verb,"to stand out, be superior, be better; exhibit, 
fulfill",5.3,praesto
"precor, -ari, -atus",verb,"to ask, beg, entreat, pray, request, call upon",2.4,precor
"premo, -ere, -essi, -essum",verb,to press,2.3,premo
primum,adverb,"at first, first, in the first place, in the beginning",4.6,primum
"primus, -a, -um",adjective,"the first, first",1.3,primus
"princeps, -cipis",adjective,"first in order, foremost, chief",5.1,princeps
"princeps, -cipis (m.)",noun,"the first man, first person; a chief, leader, ruler, 
emperor",3.4,princeps
"prior, prius",adjective,"former, previous, prior, first",3.1,prior
prius,adverb,"sooner, first, previously",5.4,prius
priusquam or prius quam,adverb,"before that, before; sooner, rather",5.4,priusquam
pro,preposition,"(with abl.) before, in front of, for",3.4,pro
procul,adverb,"in the distance, at a distance, away, apart, far, 
far off",1.4,procul
"proelium, -i (n.)",noun,"a battle, combat",5.4,proelium
"proficiscor, -i, -fectus sum",verb,"to set out, start, go, march, depart",2.3,proficiscor
prope,preposition,"(with acc.) near, near to",3.6,prope
"propero, -are, -avi, -atum",verb,"to make haste, hasten, be quick, be in haste, 
go quickly",1.4,propero
propius,adverb,"more nearly, more closely, nearer, closer",2.1,propius
propter,preposition,"(with acc.) near, close to; because of, on 
account of",1.3,propter
"prosum, prodesse, profui",verb,"to be useful, be of use, do good, benefit, 
profit, serve",5.1,prosum
"provincia, -ae (f.)",noun,a province; official duty,5.6,provincia
"proximus or proxumus, -a, -um",adjective,"the nearest, next",2.1,proximus
"prudens, -entis",adjective,"aware, skilled; sensible, prudent; experienced",6.1,prudens
"prudentia, -ae (f.)",noun,"discretion; good sense, wisdom; prudence; 
foresight",2.3,prudentia
"puella, -ae (f.)",noun,"a female child, girl, maiden, lass",4.6,puella
"puer, -eri (m.)",noun,"a male child, boy, lad, young man",3.1,puer
"pugna, -ae (f.)",noun,"a fight, fight in close quarters, battle, combat, 
engagement",5.4,pugna
"pugno, -are, -avi, -atum",verb,to fight; to dispute,3.6,pugno
"pulcher, -chra, -chrum",adjective,"beautiful, beauteous, fair, handsome",2.1,pulcher
"pulso, -are, -avi, -atum",verb,"to beat, strike, hit",6.2,pulso
"pumex, -icis (f.)",noun,a pumice stone,2.1,pumex
"punio, -ire, -ivi, -itum",verb,"to punish, inflict punishment; avenge, extract 
retribution",4.1,punio
"puto, -are, -avi, -atum",verb,"to believe, think, suppose; clean, cleanse, 
trim, prune",1.3,puto
qua,adverb,"on which side, at which place, in what 
direction, where, by what way",3.1,qua
"quaero, -ere, -sivi, -situm",verb,"to seek, look for",5.1,quaero
"qualis, -e",adjective,"of what sort, of what nature, what kind of a; of 
such a sort, kind, or nature, such as, as",2.4,qualis
quam,adverb,"in what manner, how greatly, how, how much; 
as, than; after than, earlier than",1.1,quam
quamquam,conjunction,"though, although, albeit, notwithstanding that",2.1,quamquam
quamvis,adverb/conjunction,"as you will, as much as you will, however 
much, as much as possible, very much, 
extremely",1.4,quamvis
quando,adverb/conjunction,"when, since, because",3.4,quando
"quantus, -a, -um",adjective,"of what size, how much, how great; as (correl. 
with tantus)",5.1,quantus
quasi,adverb,"as if, just as if, as though",2.1,quasi
quater,adverb,four times,4.4,quater
-que,enclitic,"and (affixed to a word and joining it with a 
preceding word)",1.1,-que
"qui, quae, quod",pronoun/adjective,"who, which, that",1.1,qui
quia,conjunction,"because, since",1.3,quia
"quicumque, quaecumque, 
quodcumque",pronoun/adjective,"whoever, whatever, whatsoever, everyone 
who, everything that, all that",5.4,quicumque
"quidam, quaedam, quoddam 
(or quiddam)",pronoun/adjective,"a certain, a certain one, somebody, one, 
something",1.3,quidam
quidem,adverb,"assuredly, certainly, in fact, indeed",1.4,quidem
"quiesco, -ere, -evi, -etum",verb,"to rest, repose, keep quiet, be inactive, be at 
peace",1.2,quiesco
quin,conjunction,"why not; but, indeed, really, in fact",5.1,quin
quippe,adverb/conjunction,"of course, as you see, obviously, as one might 
expect, naturally, by all means",5.4,quippe
"quis, qua, quid",pronoun/adjective,"anyone, anything, someone, something (often 
with si, ne, num or nisi)",3.1,quis
"quis, quid",pronoun/adjective,"who, what",2.3,quis
"quisquam, quaequam, 
quicquam or quidquam",pronoun/adjective,"any, any one",1.1,quisquam
"quisque, quaeque, quidque or 
quodque",pronoun/adjective,"whoever it be, whatever, each, each one, 
every, everybody, everyone",3.6,quisque
"quisquis, quaeque, quodquod 
or quidquid",pronoun/adjective,"whoever, whosoever, whatever, whatsoever, 
everyone who, each, every, all",2.4,quisquis
quo,adverb,"to where, in where, where; for which reason, to 
what end, why, in order that, so that",1.4,quo
quod,conjunction,"that, in that, because, but, though",2.4,quod
quomodo,adverb,"how, in what way; just as",3.4,quomodo
quoque,conjunction,"also, too",1.2,quoque
quot,adjective,"how many, as many as",4.1,quot
"quotus, -a, -um",adjective,how many; of what number; as many,4.1,quotus
"rapio, -ere, -pui, -ptum",verb,"to seize and carry off, snatch, tear, drag, hurry 
away",2.1,rapio
"ratio, -onis (f.)",noun,"a reason; a calculation, computation",1.1,ratio
"recipio, -ere, -cepi, -ceptum",verb,"to take back, bring back, regain, recover; 
receive, accept",3.4,recipio
"recito, -are, -avi, -atum",verb,"to read aloud, recite; name in writing",3.6,recito
"reddo, -ere, -didi, -ditum",verb,"to give back, return, restore; give up, hand 
over, deliver",1.3,reddo
"redeo, -ire, -ii, -itum",verb,"to go back, turn back, return, turn around",3.4,redeo
"refero, referre, rettuli, relatum",verb,"to bear back, bring back, drive back, carry 
back",1.4,refero
"regina, -ae (f.)",noun,a queen,2.1,regina
"regnum, -i (n.)",noun,"a kingdom, kingly government, royal authority, 
kingship, royalty",2.1,regnum
"rego, -ere, rexi, rectum",verb,"to keep straight, guide, conduct, direct, 
control, rule",2.1,rego
"relinquo, -ere, -liqui, -lictum",verb,"to leave behind, give up, leave, abandon",1.1,relinquo
"reliquus, -a, -um",adjective,"rest of, remaining, available, left, surviving; 
future, further",2.3,reliquus
"requiro, -ere, -sivi, -situm",verb,"to seek again, look after, search for, ask",2.4,requiro
"res, rei (f.)",noun,"a thing, matter, affair, business, event, fact, 
circumstance, occurrence, case, situation",1.1,res
"resideo, -ere, -sedi",verb,"to sit back, remain sitting, remain behind, stay, 
remain, rest, reside",2.1,resideo
"respicio, -ere, -spexi, -spectum",verb,"to look back, look about, see behind, gaze at, 
look for",2.4,respicio
"respondeo, -ere, -spondi, 
-sponsum",verb,"to answer, reply, respond, make answer",1.4,respondeo
"rex, regis (m.)",noun,"a ruler, king",1.2,rex
"rideo, -ere, risi, risum",verb,to laugh,4.1,rideo
"rogo, -are, -avi, -atum",verb,"to ask, question, interrogate",3.1,rogo
"Roma, Romae (f.)",noun (proper),(the city of) Rome,1.1,Roma
"Romanus, -a, -um",adjective,"of Rome, Roman",3.4,Romanus
"rumpo, -ere, rupi, ruptum",verb,"to break, burst, tear, rupture, burst in pieces, 
force open",2.3,rumpo
rursus or rursum,adjective/adverb,"turned back, back, backwards; back again, 
again, once more",1.2,rursus
"rusticus, -a, -um",adjective,"country, rural; plain, simple, rustic; provincial, 
unrefined",4.1,rusticus
"sacer, -cra, -crum",adjective,"dedicated, consecrated, devoted, sacred",4.6,sacer
"sacrificium, -i (n.)",noun,"a sacrifice, offering to a deity",4.1,sacrificium
"saeculum or saeclum, -i (n.)",noun,"a race, generation, age, the people of any time",3.4,saeculum
saepe,adverb,"often, oft, oftentimes, many times, frequently",3.4,saepe
"saevus, -a, -um",adjective,"raging, mad, furious, fierce, savage, ferocious, 
cruel, violent, severe",2.1,saevus
"salio, -ire, salui, saltum",verb,"to leap, jump; move suddenly",4.1,salio
"salus, -utis (f.)",noun,"soundness, health, good health, vigor, safety",1.4,salus
"saluto, -are, -avi, -atum",verb,to greet; wish well; visit,4.1,saluto
"sanguis (sanguen), -inis (m.)",noun,blood,4.4,sanguis
"sanus, -a, -um",adjective,"sound, healthy; sensible; sober, sane",4.6,sanus
"sapiens, -entis",adjective,"wise, knowing, sensible",5.4,sapiens
"sapientia, -ae (f.)",noun,"wisdom; judgment, understanding; reason, 
intelligence",5.1,sapientia
satis or sat,adjective/adverb,"enough, sufficient, satisfactory, ample, 
adequate",5.1,satis
"saxum, -i (n.)",noun,"a large stone, broken rock, boulder, rock",5.6,saxum
"scelestus, -a, -um",adjective,"infamous, wicked; accursed",5.3,scelestus
"scelus, -eris (n.)",noun,"a wicked deed, heinous act, crime, sin, 
wickedness",4.6,scelus
"schola, -ae (f.)",noun,"a school; followers of a system, teacher, or 
subject",5.3,schola
"scientia, -ae (f.)",noun,"knowledge, science; skill",3.1,scientia
"scio, -ire, -ivi, -itum",verb,"to know, understand, perceive, have 
knowledge of, be skilled in",1.3,scio
"scribo, -ere, scripsi, scriptum",verb,"to write, write out, compose, draw up, produce",2.1,scribo
sed,conjunction,"but, on the contrary, but also, but even, but in 
fact",1.1,sed
"sedeo, -ere, sedi, sessum",verb,"to sit, remain, settle",2.3,sedeo
"sedes, -is (f.)",noun,"a seat, bench, chair, throne; place, spot",1.4,sedes
"sella, -ae (f.)",noun,"a seat, stool, chair; chair of an official",5.3,sella
semper,adverb,"ever, always, at all times, continually, 
perpetually, forever",1.3,semper
"senator, -oris (m.)",noun,a senator,5.6,senator
"senatus, -us (m.)",noun,"the council of the elders, council of state, 
Senate",5.1,senatus
"senex, senis (m.)",noun,"aged, old",3.1,senex
"sententia, -ae (f.)",noun,"(an) opinion, feeling, way of thinking; thought, 
meaning, sentence/period; purpose",5.4,sententia
"sentio, -ire, sensi, sensum",verb,"to discern by sense, feel, hear, see, perceive, 
be sensible of",3.4,sentio
"sepulcrum, -i (n.)",noun,"a grave, tomb",5.6,sepulcrum
"sequor, -i, secutus sum",verb,"to follow, come after, follow after, accompany",2.3,sequor
"sermo, -onis (m.)",noun,"continued speech, talk, conversation, 
discourse",3.6,sermo
"servo, -are, -avi, -atum",verb,"to make safe, save, preserve, guard, keep, 
protect, rescue",5.4,servo
"servus, -i (m.)",noun,enslaved man,1.3,servus
"severus, -a, -um",adjective,"stern, strict, severe; weighty, serious; plain",5.6,severus
si,conjunction,if,1.1,si
sic,adverb,"so, thus, in this manner, in such a manner, 
in the same way or manner, in like manner, 
likewise",1.2,sic
"sidus, -eris (n.)",noun,"a group of stars, constellation, heavenly body, 
star",4.4,sidus
"significo, -are, -avi, -atum",verb,"to signify, indicate, show",3.1,significo
"signum, -i (n.)",noun,"a mark, token, sign, indication, proof; a military 
standard, banner",3.1,signum
"silva, -ae (f.)",noun,"a wood, forest, woodland",5.3,silva
"similis, -e",adjective,"like, resembling, similar",1.1,similis
simul,adverb,"at the same time, together, at once, 
simultaneously",3.6,simul
sine,preposition,(with abl.) without,3.4,sine
"sinister, -tra, -trum",adjective,"(on the) left, improper, adverse; inauspicious",6.1,sinister
"sinus, -us (m.)",noun,"a bent surface, curve, fold, hollow, coil; the lap; 
a bay, gulf",1.4,sinus
sive or seu,conjunction,or if,3.1,sive
"socius, -a, -um",adjective,"sharing, joining in, united, associated, allied, 
fellow, common",5.4,socius
"sol, solis (m.)",noun,the sun,1.4,sol
"soleo, -ere, -ui, -itum",verb,"to be used, be wont, be accustomed",2.3,soleo
"sollicitus, -a, -um",adjective,"concerned, worried; upset, troubled, 
disturbed, anxious, apprehensive",6.2,sollicitus
"solus, -a, -um",adjective,"alone, only, single, sole",5.1,solus
"solvo, -ere, solvi, solutum",verb,"to loosen, unbind, unfasten, untie, release",1.4,solvo
"somnium, -i (n.)",noun,"a dream, vision; fantasy, daydream",4.1,somnium
"somnus, -i (m.)",noun,sleep; (in plural) a dream,1.2,somnus
"sono, -are, -ui, -itum",verb,"to make a noise, sound, resound",1.3,sono
"sonus, -i (m.)",noun,"a noise, sound",3.1,sonus
"sordidus, -a, -um",adjective,"dirty, unclean, foul, filthy; vulgar, low, paltry; 
vile",1.4,sordidus
"soror, -oris (f.)",noun,a sister,5.1,soror
"sors, sortis (f.)",noun,"a lot, a decision by lot, drawing; an oracular 
response, prophecy",4.4,sors
"spatium, -i (n.)",noun,"a space, room, extent, distance, interval",2.3,spatium
"spectaculum, -i (n.)",noun,"a show, spectacle; spectators’ seats (pl.)",3.6,spectaculum
"spectator, -oris (m.)",noun,a spectator,3.6,spectator
"specto, -are, -avi, -atum",verb,"to look on, look at, behold, gaze at, watch, 
observe, inspect, attend",5.4,specto
"spero, -are, -avi, -atum",verb,"to hope for; trust; look forward to, expect",5.1,spero
"spes, spei (f.)",noun,hope,2.4,spes
"spiritus, -us (m.)",noun,"a breathing, breath",2.1,spiritus
"spiro, -are, -avi, -atum",verb,"to breathe; blow, breathe out, exhale; live",5.3,spiro
statim,adverb,"straightway, at once, immediately, instantly",1.4,statim
"statua, -ae (f.)",noun,a statue; image,4.1,statua
"sterno, -ere, stravi, stratum",verb,"to spread out, stretch out, scatter; cover; 
overthrow, lay low, kill",2.4,sterno
"stilus, -i (m.)",noun,"a pen, stylus used for writing on wax tablets",3.1,stilus
"sto, -are, steti, statum",verb,"to stand, stand still, remain standing, be 
upright, be erect",3.1,sto
"stola, -ae (f.)",noun,a long upper garment worn by Roman women,4.1,stola
"strideo, -ere",verb,"to make a harsh noise, hiss, whiz",4.4,strideo
"studeo, -ere, -ui",verb,"to desire, be eager for; apply oneself to; strive 
after",1.1,studeo
"studium, -i (n.)",noun,"application, zeal, eagerness, inclination, 
desire, exertion, study",2.3,studium
"stultus, -a, -um",adjective,"foolish, stupid",4.1,stultus
sub,preposition,"(with abl.) under, below, beneath, underneath, 
behind; (with acc.) under, below, beneath, up 
to, towards",2.1,sub
subito,adverb,"suddenly, immediately, unexpectedly, at once",4.4,subito
"subsisto, -ere, -stiti",verb,"to take a stand, take position, stand still, 
remain standing, stop, halt",1.2,subsisto
"—, sui, sibi, se, se",pronoun,"himself, herself, itself, themselves",1.1,—
"sum, esse, fui",verb,to be,1.1,sum
"summus, -a, -um",adjective,"uppermost, highest, topmost",3.1,summus
"sumo, -ere, sumpsi, sumptum",verb,"to take, take up, take in hand, lay hold of, 
assume",3.6,sumo
super,preposition,"(with acc. and abl.) above, on top, over",1.1,super
"superbus, -a, -um",adjective,"haughty, proud, vain, arrogant, insolent, 
domineering",4.4,superbus
"supero, -are, -avi, -atum",verb,"to overcome, conquer; survive; surpass, be 
above, have the upper hand",4.6,supero
"superus, -a, -um",adjective,"that is above, upper, higher",1.3,superus
supra,adverb,"above, beyond; over; more than; in charge of, 
in authority over",5.4,supra
"surgo, -ere, surrexi, surrectum",verb,"to rise, arise, get up, stand up",1.3,surgo
"suspendo, -ere, -di, -sum",verb,"to hang up, hang, suspend",2.4,suspendo
"sustineo, -ere, -tinui, -tentum",verb,"to hold up, hold upright, uphold, bear up, keep 
up, support, sustain",3.4,sustineo
"suus, -a, -um",adjective,"of oneself, belonging to oneself, his own, her 
own, his, her, its, their",1.1,suus
"taberna, -ae (f.)",noun,"tavern, inn, small shop, booth, hut, cottage",1.2,taberna
"tabula, -ae (f.)",noun,"writing tablet (wax covered board); (pl.) 
records; document, deed, will",1.4,tabula
"taceo, -ere, -cui, -citum",verb,"to be silent, not speak, say nothing",5.1,taceo
"tacitus, -a, -um",adjective,"silent, not spoken of, kept secret, secret, 
hidden",2.3,tacitus
"talis, -e",adjective,"such, of such a kind, such like, the like",4.4,talis
tam,adverb,"in such a degree, as much, so, so much",1.3,tam
tamen,adverb,"notwithstanding, nevertheless, for all that, 
however, yet, still",1.2,tamen
tamquam or tanquam,adverb,"as much as, so as, just as, like as, as if, so to 
speak",2.4,tamquam
tandem,adverb,"at length, at last, in the end, finally",2.4,tandem
"tango, -ere, tetigi, tactum",verb,"to touch, strike; border on; influence; mention",5.6,tango
tantum,adverb,"so much, so greatly; only, merely, but",3.4,tantum
tantum modo,adverb,"only, merely",3.6,tantum
"tantus, -a, -um",adjective,"of such size, of such a measure, so great, 
such",1.3,tantus
"tardus, -a, -um",adjective,slow; deliberate; late,3.4,tardus
"tectum, -i (n.)",noun,"a building, shelter, house, dwelling, roof",1.4,tectum
"tego, -ere, texi, tectum",verb,"to cover, cover over",4.6,tego
"tellus, -uris (f.)",noun,"the earth, globe",5.1,tellus
"telum, -i (n.)",noun,"a missile weapon, missile, dart, spear, shaft, 
javelin",4.4,telum
"tempestas, -tatis (f.)",noun,"storm; period of time, season, weather",3.4,tempestas
"templum, -i (n.)",noun,"a temple, shrine, sanctuary",4.4,templum
"tempto (tento), -are, -avi, -atum",verb,"to handle, touch, feel; try, prove, test, attempt",3.4,tempto
"tempus, -oris (n.)",noun,"a portion of time, time, period, season, interval",1.3,tempus
"tendo, -ere, tetendi, tentum",verb,"to stretch, spread out, extend, intend",4.4,tendo
"tenebrae, -arum (f. pl.)",noun,"darkness, gloom",1.2,tenebrae
"teneo, -ere, tenui, tentum",verb,"to hold, keep, have, grasp, hold fast",1.3,teneo
"tener, -era, -erum",adjective,"soft, delicate, tender, yielding",5.4,tener
"tergum, -i (n.)",noun,"the back; the hide, skin",2.4,tergum
"terra, -ae (f.)",noun,the earth,1.2,terra
"terreo, -ere, -ui, -itum",verb,to frighten; deter,5.1,terreo
"terribilis, -e",adjective,"frightful, terrible",3.1,terribilis
"Teucri, -orum (m. pl.)",noun (proper),"the Teucrians, Trojans",4.4,Teucri
"theatrum, -i (n.)",noun,a theater,3.6,theatrum
"timeo, -ere, -ui",verb,"to fear, be afraid, be fearful, apprehensive, 
dread",3.6,timeo
"timidus, -a, -um",adjective,"timid, cowardly, fearful, apprehensive",4.1,timidus
"timor, -oris (m.)",noun,"fear, dread, apprehension, alarm, anxiety",1.1,timor
"toga, -ae (f.)",noun,a toga,4.1,toga
"tollo, -ere, sustuli, sublatum",verb,"to lift, take up, raise, elevate, exalt",1.4,tollo
"torqueo, -ere, torsi, tortum",verb,"to turn, turn about, turn away, twist, bend, 
wind",2.3,torqueo
tot,pronoun,"so many, such a number of",2.1,tot
"totus, -a, -um",adjective,"all, all the, all at once, the whole, entire, total",1.2,totus
"trado, -ere, -didi, -ditum",verb,"to give up, hand over, deliver, surrender",1.4,trado
"traho, -ere, traxi, tractum",verb,"to draw, drag, haul, draw off, pull forth, drag 
away",4.4,traho
"Traianus, -i (m.)",noun (proper),"Trajan, a Roman emperor",3.4,Traianus
trans,preposition,"(with acc.) across, over; beyond; on the other 
side",1.1,trans
"transeo, -ire, -ii, -itum",verb,"to go over, go across, cross over, pass over, 
pass by, pass",5.6,transeo
"tremor, -oris (m.)",noun,"a shaking, quaking, quivering, trembling, 
tremor",1.3,tremor
"tristis, -e",adjective,"sad, mournful, dejected, gloomy, downcast",3.1,tristis
"Troia, -ae (f.)",noun (proper),"Troy, a city of Asia Minor",4.4,Troia
"Troianus, -a, -um",adjective,"of Troy, Trojan",4.4,Troianus
"tu, tui, tibi, te, te",pronoun,you (singular),1.1,tu
tum,adverb,"then, at that time, in those times",1.2,tum
"tumultus, -i (m.)",noun,"(a) commotion, confusion, uproar; rebellion, 
uprising, disturbance",4.1,tumultus
tunc,adverb,"then, at that time, just then, on that occasion",1.2,tunc
"turba, -ae (f.)",noun,"a turmoil, riot, disturbance; a crowd, multitude",2.4,turba
"Turnus, -i (m.)",noun (proper),"Turnus, prince of the Rutuli and enemy of 
Aeneas",5.4,Turnus
"turpis, -e",adjective,"ugly, unsightly, unseemly, repulsive, foul, filthy",5.1,turpis
"tutus, -a, -um",adjective,"guarded, safe, secure, out of danger",5.1,tutus
"tuus, -a, -um",adjective,"your, yours, of you (singular)",1.2,tuus
ubi,adverb,"in which place, in what place, where; when, 
whenever, as soon as, as",1.3,ubi
ubique,adverb,"anywhere, everywhere",3.1,ubique
"ullus, -a, -um",adjective,"any, any one",1.3,ullus
"ultimus, -a, -um",adjective,"farthest, most distant, most remote, 
uttermost, extreme, last",4.6,ultimus
"umbra, -ae (f.)",noun,"a shade, shadow",5.1,umbra
"umerus (humerus), -i (m.)",noun,"the upper arm, shoulder",4.4,umerus
umquam,adverb,"at any time, ever",4.6,umquam
"unda, -ae (f.)",noun,"a wave, billow",4.4,unda
unde,adverb,"from which place, from where, whence",1.4,unde
"unus, -a, -um",adjective,"one, a single; alone, only, sole, single; a or an",1.2,unus
"urbs, urbis (f.)",noun,"a walled town, city, the city of Rome",1.2,urbs
"usus, -us (m.)",noun,"use, practice, employment, exercise, 
enjoyment",5.3,usus
ut or uti,adverb/conjunction,"how, in what way; as, like; when; that, so that",1.1,ut
"uterque, utraque, utrumque",pronoun/adjective,"each, either, each one, one and the other, one 
as well as the other, both (of two regarded 
severally)",1.3,uterque
"utor, uti, usus sum",verb,"to use, make use of, employ, profit by, take 
advantage of, enjoy, serve oneself with",1.4,utor
"uxor, -is (f.)",noun,a wife,4.1,uxor
"vacuus, -a, -um",adjective,"empty, unoccupied; devoid of, free of",4.1,vacuus
"valeo, -ere, -ui, -itum",verb,"to be strong, be vigorous, have strength, be 
able",1.3,valeo
"varius, -a, -um",adjective,"diverse, different, changing, varying, various",1.2,varius
-ve,enclitic,"or, or if you will, or as you please",3.4,-ve
"vehemens, -entis",adjective,"violent, severe; emphatic, vigorous, lively",4.6,vehemens
vel,conjunction,or,3.4,vel
velut or veluti,adverb,"even as, just as, like as, like",1.4,velut
"vendo, -ere, -didi, -ditum",verb,to sell,5.3,vendo
"venio, -ire, veni, ventum",verb,to come,1.2,venio
"ventus, -i (m.)",noun,wind,1.4,ventus
"verbum, -i (n.)",noun,a word,3.6,verbum
vero,adverb,"in truth, in fact, certainly, truly, to be sure, 
surely, assuredly",1.4,vero
"vertex (vortex), -icis (f.)",noun,"a whirl, whirlpool, vortex; the highest point, 
top, peak, summit",3.1,vertex
"verto (vorto), -ere, -i, versum",verb,"to turn, turn up, turn back, direct",1.4,verto
"verus, -a, -um",adjective,"true, real, actual, genuine",1.1,verus
"vester, -tra, -trum",adjective,"your, yours, of you (plural)",3.4,vester
"vestigium, -i (n.)",noun,"a footstep, step, footprint; a trace, mark, track, 
vestige",2.3,vestigium
"vestis, -is (f.)",noun,"clothes, clothing, attire",5.6,vestis
"vetus, -eris",adjective,"old, aged, advanced in years",4.4,vetus
"vexo, -are, -avi, -atum",verb,"to shake, jolt, toss violently; to annoy, trouble, 
disturb, vex",5.3,vexo
"via, -ae (f.)",noun,"a way, highway, road, path, street",2.4,via
"victor, -oris (m.)",noun,"a conqueror, vanquisher, victor",5.4,victor
"victoria, -ae (f.)",noun,victory,5.3,victoria
"video, -ere, vidi, visum",verb,"to see, discern, perceive; (in passive) to seem",1.1,video
"villa, -ae (f.)",noun,"a farm, country home, estate; large country 
residence",5.4,villa
"vinco, -ere, vici, victum",verb,"to conquer, defeat, be victorious, win, 
succeed",1.3,vinco
"vinculum or vinclum, -i (n.)",noun,"a bond, fastening, band, rope, cord, tie",3.1,vinculum
"vinum, -i (n.)",noun,wine,1.2,vinum
"vir, viri (m.)",noun,"a male person, adult male, man",1.2,vir
"virgo, -inis (f.)",noun,"a maid, maiden, virgin, young woman, girl",5.4,virgo
"virtus, -utis (f.)",noun,"manliness, manhood, strength, vigor, bravery, 
courage, excellence",5.6,virtus
"vis, vis (f.)",noun,"strength, force, vigor, power, energy, virtue",3.6,vis
"visito, -are, -avi, -atum",verb,"to visit, go to see; look at",5.4,visito
"vita, -ae (f.)",noun,life,1.2,vita
"vitium, -i (n.)",noun,"a fault, defect, blemish, imperfection, vice",5.1,vitium
"vitupero, -are, -avi, -atum",verb,"to find fault with, blame, reproach, disparage, 
scold, censure",5.6,vitupero
"vivo, -ere, vixi, victum",verb,"to live, be alive, have life",1.3,vivo
"vivus, -a, -um",adjective,"alive, fresh; living",5.6,vivus
vix,adverb,"with difficulty, with much ado, hardly, scarcely, 
barely",2.4,vix
"voco, -are, -avi, -atum",verb,"to call, summon, invoke, call together, 
convoke",2.3,voco
"volo, -are, -avi, -atum",verb,to fly,5.1,volo
"volo, velle, volui",verb,"to will, wish, want, purpose, be minded, 
determine",1.2,volo
"voluptas, -atis (f.)",noun,"satisfaction, enjoyment, pleasure, delight",3.6,voluptas
"volvo, -ere, volvi, volutum",verb,"to cause to revolve, roll, turn about, turn round",4.4,volvo
"vos, vestrum/vestri, vobis, vos, 
vobis",pronoun,you (plural),2.3,vos
"votum, -i (n.)",noun,"a promise to a god, solemn pledge, vow",5.1,votum
"vox, vocis (f.)",noun,"a voice, sound, tone, utterance, cry, call",2.4,vox
"vulnero (volnero), -are, -avi, 
-atum",verb,"to wound, harm, pain, distress; damage",6.2,vulnero
"vulnus (volnus), -eris (n.)",noun,a wound,5.3,vulnus
"vultus (voltus), -us (m.)",noun,"countenance, features, expression, aspect; 
face",5.3,vultus
